Genes;samples;counts;condition
KLHL4;DM1_17;7,95346678990288e+01;DM1
KLHL4;DM1_22;6,03437421840494e+01;DM1
KLHL4;DM1_39;2,57650727152642e+01;DM1
KLHL4;DM1_34;8,25115378512210e+01;DM1
KLHL4;DM1_25;4,81696773017709e+01;DM1
KLHL4;DM1_33;6,20918950219381e+01;DM1
KLHL4;DM1_26;6,03455828668736e+01;DM1
KLHL4;DM1_30;4,99410456430985e+01;DM1
KLHL4;DM1_52;7,01319335864413e+01;DM1
KLHL4;Ctrl_B2;2,12990357103477e+01;Ctrl
KLHL4;Ctrl_B8;2,40525433485641e+01;Ctrl
KLHL4;DM1_20;1,31630745264302e+01;DM1
KLHL4;DM1_14;1,54526169714458e+01;DM1
KLHL4;DM1_29;2,18371800421831e+00;DM1
KLHL4;DM1_42;1,31410833556533e+01;DM1
KLHL4;Ctrl_B10;7,01431172731796e+00;Ctrl
KLHL4;Ctrl_B6;2,15119809083329e+01;Ctrl
KLHL4;DM1_56;2,57722619077859e+01;DM1
KLHL4;Ctrl_B11;2,54460781527845e+01;Ctrl
KLHL4;DM1_28;2,19458068899047e+01;DM1
KLHL4;Ctrl_B5;1,93504051045030e+01;Ctrl
KLHL4;DM1_55;2,59441308272506e+01;DM1
KLHL4;Ctrl_B1;7,21054894606413e+00;Ctrl
KLHL4;DM1_16;2,20747330185370e+01;DM1
KLHL4;DM1_38;5,64973852963179e+01;DM1
KLHL4;Ctrl_B9;3,02844079980957e+01;Ctrl
KLHL4;Ctrl_B3;1,89174740958250e+01;Ctrl
KLHL4;Ctrl_B4;7,57154785433676e+00;Ctrl
KLHL4;Ctrl_B7;2,10265414039867e+01;Ctrl
KLHL4;DM1_19;1,37540589770559e+01;DM1
KLHL4;DM1_35;2,72708710875077e+02;DM1
KLHL4;DM1_43;2,06432760335399e+02;DM1
KLHL4;DM1_18;1,70432654031950e+02;DM1
KLHL4;DM1_44;4,93443864550711e+02;DM1
KLHL4;DM1_15;2,26948386139936e+02;DM1
KLHL4;DM1_50;2,66105261729005e+02;DM1
KLHL4;DM1_32;2,44858284122372e+02;DM1
KLHL4;DM1_37;1,48200613899721e+02;DM1
KLHL4;DM1_13;1,14073864545457e+02;DM1
KLHL4;DM1_21;2,59567222666228e+02;DM1
KLHL4;DM1_48;1,16126603937365e+02;DM1
KLHL4;DM1_40;2,86479267899213e+01;DM1
KLHL4;DM1_54;3,26218517704480e+01;DM1
KLHL4;DM1_46;2,41720431369234e+02;DM1
KLHL4;DM1_51;5,83510933551888e+02;DM1
KLHL4;DM1_31;1,62669195161274e+02;DM1
KLHL4;DM1_47;1,34893499480836e+02;DM1
KLHL4;DM1_23;2,20380765949178e+02;DM1
KLHL4;DM1_24;2,37845642030509e+02;DM1
KLHL4;DM1_27;5,17407205054805e+01;DM1
APLN;DM1_41;2,55205236849885e+01;DM1
APLN;DM1_36;6,19433343988432e+01;DM1
APLN;DM1_53;5,42626943445336e+01;DM1
APLN;DM1_45;4,45393636416108e+01;DM1
APLN;DM1_17;5,14636086405480e+01;DM1
APLN;DM1_22;4,20577597040344e+01;DM1
APLN;DM1_39;2,25444386258562e+01;DM1
APLN;DM1_34;5,32332502265942e+01;DM1
APLN;DM1_25;1,62066204005958e+01;DM1
APLN;DM1_33;1,43288988512165e+01;DM1
APLN;DM1_26;4,25292679252252e+01;DM1
APLN;DM1_30;1,64983811499522e+01;DM1
APLN;DM1_52;1,96369414042036e+01;DM1
APLN;Ctrl_B2;5,22794512890352e+01;Ctrl
APLN;Ctrl_B8;1,63557294770236e+02;Ctrl
APLN;DM1_20;6,14276811233407e+01;DM1
